176,34,90,26,16,7,57,3,0,16,13,5,2,0,1874,76,22,202,34,23,5,55,0,2,15,13,5,0,0,1726,-100,-12,112,8,7,-2,1
134,30,299,38,27,7,50,0,0,26,11,2,0,0,1854,77,17,309,40,26,7,74,1,1,20,12,3,1,1,1746,-57,-13,10,2,-1,24,0
84,26,201,42,27,12,87,0,1,20,14,2,2,2,1991,62,27,150,19,13,6,46,2,1,15,10,3,1,1,1609,-22,1,-51,-23,-14,-41,1
19,9,110,30,16,8,54,0,0,6,12,2,1,0,1157,167,46,289,35,24,5,48,1,0,28,16,6,3,2,2443,148,37,179,5,8,-6,1
159,30,228,37,20,21,147,2,2,26,11,3,2,1,1786,169,37,97,23,10,7,46,0,2,22,14,8,0,0,1814,10,7,-131,-14,-10,-101,1
90,31,220,31,22,7,65,0,0,22,11,4,1,0,1869,161,28,96,27,18,6,39,0,1,14,13,0,2,1,1731,71,-3,-124,-4,-4,-26,0
132,26,232,33,22,12,94,1,0,20,13,4,1,0,1835,181,37,161,24,10,10,98,1,0,19,11,2,0,0,1765,49,11,-71,-9,-12,4,1
120,28,245,31,23,10,80,1,2,22,10,6,1,1,1852,133,28,44,23,9,7,40,1,4,12,14,3,1,1,1748,13,0,-201,-8,-14,-40,0
113,20,210,33,21,18,102,2,3,16,9,3,1,0,1488,99,36,137,26,20,7,63,1,0,21,14,6,0,0,2112,-14,16,-73,-7,-1,-39,1
104,32,207,26,17,11,104,1,0,25,10,4,0,0,2003,66,21,213,35,20,9,100,1,1,20,12,5,0,0,1597,-38,-11,6,9,3,-4,0
119,28,268,33,27,4,32,0,0,24,10,3,1,0,1744,118,24,259,41,26,5,69,1,2,21,12,6,1,1,1856,-1,-4,-9,8,-1,37,0
89,19,299,46,24,8,55,0,0,22,16,6,0,0,1663,178,34,254,24,17,11,82,0,0,20,11,3,0,0,1937,89,15,-45,-22,-7,27,1
54,25,263,32,20,10,73,1,3,14,14,6,1,0,1677,52,24,157,28,17,10,75,3,1,11,15,4,2,1,1923,-2,-1,-106,-4,-3,2,0
91,19,179,29,14,6,32,3,1,11,11,1,1,1,1381,92,38,293,37,26,6,44,3,1,25,16,9,0,0,2446,1,19,114,8,12,12,1
149,21,126,26,12,7,50,1,2,17,10,3,0,0,1285,177,39,164,26,18,13,99,0,2,24,10,5,0,0,2315,28,18,38,0,6,49,1
160,33,106,23,11,10,79,0,1,21,12,7,0,0,1594,211,32,245,33,22,8,55,1,1,32,7,3,0,0,2006,51,-1,139,10,11,-24,0
64,18,243,43,21,9,60,2,0,13,14,3,3,1,1461,180,34,162,26,18,9,65,1,0,15,17,8,0,0,2139,116,16,-81,-17,-3,5,1
80,19,203,49,26,14,91,0,2,16,16,3,4,1,1942,95,30,97,25,16,8,58,2,1,16,10,3,1,0,1658,15,11,-106,-24,-10,-33,1
93,35,153,35,19,10,106,0,1,17,19,7,1,0,2164,73,30,145,28,11,7,80,1,3,16,12,1,0,0,1652,-20,-5,-8,-7,-8,-26,0
101,28,297,41,25,5,54,3,0,26,12,5,1,0,1940,96,32,178,25,15,4,24,0,0,18,12,4,1,1,1660,-5,4,-119,-16,-10,-30,1
